,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,current_q1,current_q2,reward
24,Pendulum-v1,368,-277.71029188453645,25199,126,68.29944705963135,73.03150939941406,7.092618942260742,-74.76895141601562,-74.38882446289062,-74.46256256103516,-2.4032342433929443
25,Pendulum-v1,368,-236.99847985748056,26199,131,71.07781505584717,62.288475036621094,9.53203296661377,-63.097900390625,-63.90233612060547,-63.866851806640625,-1.8832805156707764
26,Pendulum-v1,368,-191.76734532836457,27199,136,73.78883290290833,77.05519104003906,12.486870765686035,-78.98361206054688,-79.2115707397461,-79.18606567382812,-2.5067203044891357
27,Pendulum-v1,368,-168.83728581554755,28199,141,76.51146101951599,65.84920501708984,8.829614639282227,-68.16885375976562,-67.54669952392578,-67.21817016601562,-2.191988945007324
28,Pendulum-v1,368,-163.20809267849404,29199,146,79.28208708763123,55.7846794128418,74.09577178955078,-58.7470588684082,-57.66414260864258,-57.52033996582031,-1.8263883590698242
29,Pendulum-v1,368,-151.84461620673287,30199,151,82.04909825325012,61.69184494018555,6.87980318069458,-62.7884521484375,-63.27627182006836,-63.187522888183594,-2.1146130561828613
30,Pendulum-v1,368,-149.2772306839196,31199,156,84.75645399093628,55.717376708984375,5.571803092956543,-57.04770278930664,-57.61964416503906,-57.555213928222656,-1.7091948986053467
31,Pendulum-v1,368,-145.07568494974984,32199,161,87.47579622268677,56.51994705200195,6.949487209320068,-58.29482650756836,-57.751468658447266,-57.739463806152344,-1.7453889846801758
32,Pendulum-v1,367,-147.03843433437976,33199,166,90.24329400062561,53.26338195800781,20.45625877380371,-56.16289138793945,-54.500328063964844,-54.568973541259766,-1.782381296157837
33,Pendulum-v1,367,-149.23084868792756,34199,171,93.00097799301147,61.808712005615234,23.76909065246582,-64.69202423095703,-62.87687683105469,-62.89775085449219,-2.222958564758301
34,Pendulum-v1,367,-151.30099722379097,35199,176,95.73041915893555,65.88715362548828,13.642765045166016,-67.68246459960938,-67.47785949707031,-67.39678955078125,-2.269822597503662
