,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,current_q2,reward
14,MetaDrive-Tut-Hard-v0,430,-0.08169114470529237,15040,142,34.958648920059204,0.12142115831375122,,0.23055744171142578,0.0,0.08311988413333893,0.05165055766701698,0.0063880253583192825
15,MetaDrive-Tut-Hard-v0,398,3.9228948011105094,16031,157,40.247111082077026,0.2265598177909851,-0.33034050464630127,0.6419413089752197,0.0,0.2607801556587219,0.2633711099624634,-0.0031142188236117363
16,MetaDrive-Tut-Hard-v0,373,9.613198530116183,17031,168,45.560858964920044,0.5394307971000671,-0.6066542267799377,0.3878573179244995,0.0,0.5187671780586243,0.5252530574798584,0.0692823976278305
17,MetaDrive-Tut-Hard-v0,354,15.524947229384363,18032,183,50.89059805870056,1.0055744647979736,,0.20536914467811584,0.0,0.9893028736114502,1.0050451755523682,0.1235414370894432
18,MetaDrive-Tut-Hard-v0,337,22.42504074820196,19037,197,56.42026615142822,1.5348979234695435,-1.8038866519927979,0.4744126498699188,0.0,1.5727039575576782,1.6105372905731201,0.11874367296695709
19,MetaDrive-Tut-Hard-v0,323,31.83758131611708,20123,209,62.24161911010742,2.390565872192383,-2.6402149200439453,1.3236693143844604,0.0,2.4390556812286377,2.4611830711364746,0.15260346233844757
20,MetaDrive-Tut-Hard-v0,314,38.95309674593837,21009,218,66.9013159275055,3.1979267597198486,-3.1665728092193604,0.740528404712677,0.0,2.9992599487304688,3.0562705993652344,0.20367102324962616
21,MetaDrive-Tut-Hard-v0,302,48.81423972630192,22129,228,73.03614616394043,4.195319175720215,-4.164026737213135,0.8195955753326416,0.0,3.945542097091675,4.010987758636475,0.23634670674800873
22,MetaDrive-Tut-Hard-v0,295,57.153972321959735,23042,235,78.03444385528564,4.818630218505859,,2.701263189315796,0.0,4.826765537261963,4.819455623626709,0.19152313470840454
23,MetaDrive-Tut-Hard-v0,287,64.48517662964808,24053,245,83.74158811569214,5.47705078125,-5.6775898933410645,1.8176612854003906,0.0,5.268310070037842,5.276200294494629,0.21560394763946533
24,MetaDrive-Tut-Hard-v0,280,72.55091906540669,25099,254,89.56466507911682,6.888950347900391,-7.300014972686768,1.2756496667861938,0.0,7.0755205154418945,7.087664604187012,0.27597102522850037
25,MetaDrive-Tut-Hard-v0,275,77.09530612240705,26058,262,94.69512701034546,7.824903964996338,,4.093628406524658,0.0,7.452542781829834,7.407849311828613,0.2713339626789093
26,MetaDrive-Tut-Hard-v0,270,81.68437601365218,27013,271,99.75582504272461,8.338240623474121,-8.399826049804688,0.591529905796051,0.0,8.082740783691406,8.247085571289062,0.32703110575675964
27,MetaDrive-Tut-Hard-v0,266,87.62604523820036,28068,281,105.39852905273438,9.9427490234375,,0.8401496410369873,0.0,9.740467071533203,9.66291332244873,0.37840425968170166
28,MetaDrive-Tut-Hard-v0,262,93.540582860049,29081,289,110.74230909347534,10.280978202819824,-10.626750946044922,2.8956100940704346,0.0,10.260014533996582,10.300386428833008,0.3655613958835602
29,MetaDrive-Tut-Hard-v0,259,99.50203440595632,30024,297,115.804368019104,11.335929870605469,,8.089547157287598,0.0,11.842062950134277,11.828420639038086,0.3384948670864105
30,MetaDrive-Tut-Hard-v0,255,103.54305991603356,31021,304,121.34259605407715,13.44110107421875,-13.594501495361328,2.5157318115234375,0.0,13.099517822265625,13.109918594360352,0.43229764699935913
31,MetaDrive-Tut-Hard-v0,252,106.50868196240098,32028,312,126.98034811019897,14.670886039733887,,4.743461608886719,0.0,14.78034782409668,14.787328720092773,0.4814792275428772
32,MetaDrive-Tut-Hard-v0,249,108.54215547632299,33040,322,132.51272201538086,15.28901481628418,,6.891779899597168,0.0,15.279379844665527,15.221179962158203,0.46045392751693726
33,MetaDrive-Tut-Hard-v0,246,106.12591957847013,34030,332,137.9330449104309,15.925862312316895,,5.676011085510254,0.0,15.473214149475098,15.419221878051758,0.4051712453365326
34,MetaDrive-Tut-Hard-v0,243,108.4489328788649,35055,341,143.73698592185974,17.679218292236328,-18.023487091064453,15.098240852355957,0.0,17.901941299438477,17.892213821411133,0.4358782470226288
35,MetaDrive-Tut-Hard-v0,241,108.75442815364944,36015,351,148.99585700035095,18.57993507385254,-19.07111358642578,6.043153762817383,0.0,18.589576721191406,18.75487518310547,0.4884049892425537
